empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
A,2023,6833000,10763000,139.03,293004.102,-.06637001,1350000,2735000
AA,2023,10551000,14155000,34,178471.908,-.27884579,-343000,1811000
AAOI,2023,217646,389186,19.32,35536.578,2.324564,-41349,82394
AAON,2023,1168518,941436,73.87,81244.857,.39107013,227494,38328
AAPL,2023,383285000,352583000,171.21,15634232,.22136545,114301000,111088000
ABBV,2023,54318000,134711000,154.97,1765537.421,-.0023508072,12757000,59385000
ABEO,2023,3500,64002,5.01,24773.317,.48650634,-47135,5400
ABT,2023,40109000,73214000,110.07,1736058.536,.022354603,6478000,14679000
ACA,2023,2307900,3577900,82.64,48759.966,.42227077,217300,568700
ACAD,2023,726437,748956,31.31,164180.377,.67636132,-73379,47800
ACCO,2023,1832800,2644800,6.08,94925.652,.14239585,44700,1016200
ACLS,2023,1130604,1281967,129.69,32747.459,.49115276,265795,91393
ACLX,2023,110319,825132,55.5,48686.187,.58304143,-89880,97625
ACMR,2023,557723,1490908,19.54,60607.795,.92994547,95839,99096
ACNT,2023,193179,163295,9.56,10125.533,.097718954,-37430,32828
ACU,2023,191500.947,149241.316,42.86,3585.07,.69421864,13188.617,15649.293
ADI,2023,12305539,48794478,198.56,496261.678,.20990658,3823112,6948733
ADM,2023,93935000,54631000,72.22,533381.255,-.22838354,3715000,9596000
ADMA,2023,258215,329182,4.52,225967.668,.15267682,21632,141418
ADPT,2023,170276,661134,4.9,144772.751,-.44416249,-227035,98772
ADTN,2023,1149100,1682512,7.34,78698.999,-.91320848,-221271,195000
AEHR,2023,64961,98143,41.25,28338.209,1.7047482,13375,6300
AEIS,2023,1655810,2556757,108.92,37280.657,.24289083,113694,1022753
AGCO,2023,14412400,11421200,121.41,74879.93700000001,-.082298279,1700400,1526600
AGEN,2023,156314,313913,.8279,381495.471,-1.0643318,-159549,78012
AGIO,2023,26823,937118,22.27,55891.284,-.23181701,-391487,71996
AIN,2023,1147909,1835014,98.22,31200,.0073261261,167894,456885
AIP,2023,53666,102801,5.89,36854.383,.31464088,-35142,4391
AIR,2023,1990500,1833100,57.76,34934.957,.32244349,133900,317900
AIRI,2023,51516,50715,3.25,3303.045,-.26826394,-295,25772
AKBA,2023,194623,241703,1.24,188389.415,.76502436,-46256,43630
AKYA,2023,96633,180369,4.88,49076.173,-.6734879,-57668,85706
ALB,2023,9617203,18270652,144.48,117353.272,-.39744902,251881,4166763
ALEC,2023,97062,621827,7.98,84136.38099999991,-.14552069,-151740,38918
ALG,2023,1689651,1409386,210.19,12011.781,.40008211,197967,235277
ALGM,2023,1049367,1530603,26.96,193125.832,-.57663846,196244,275207
ALGN,2023,3862260,6083877,274,76589.114,.26174402,643338,96968
ALIM,2023,80754,153524,4.32,52416.841,.46630675,-1932,64683
ALLO,2023,95,642837,3.21,168276.662,-.67269015,-327737,0
ALNT,2023,578634,597542,30.21,16211.259,-.13818407,42314,218402
ALNY,2023,1828292,3829880,191.41,125492.927,-.21638107,-282175,1305387
ALOT,2023,148086,133251,17.82,7432.799,.24090719,8796,24300
ALSN,2023,3035000,5025000,58.15,89484.712,.35284448,919000,2503000
ALTO,2023,1222940,454241,2.66,76139.10000000001,-.079464138,-23848,105459
ALV,2023,10475000,8332000,110.19,84148.33199999989,.39198875,690000,2036000
AMAT,2023,26517000,30729000,162.07,831067.105,.51863384,7654000,5561000
AMBA,2023,226474,657655,50.77,40962.191,-.42193937,-154560,5339
AMD,2023,22680000,67885000,147.41,1615498.891,.8223753,401000,3003000
AME,2023,6596950,15023533,164.89,230798.657,.172328,1707459,3313347
